"","CH-LF_TF-9","CH-LF_TF-7","CH-LF_TF-21","CH-LF_TF-1","CH-LF_TF-24","CH-LF_TF-22","CH-LF_TF-23","CH-LF_TF-4","CH-LF_TF-3","CH-LF_TF-25","CH-LF_TF-5","CH-LF_TF-2","CH-LF_TF-6","CH-LF_TF-10","CH-LF_TF-19","CH-LF_TF-17","CH-LF_TF-18","CH-LF_TF-20","CH-LF_TF-16","CH-LF_TF-12/13/14/15","CH-LF_TF-11","CH-LF_TF-8","IX-LF_TF-1","IX-LF_TF-2/3","TX-LF_TF-5","TX-LF_TF-6/7/8","TX-LF_TF-2","TX-LF_TF-1","TX-LF_TF-3/4"
"CH-LF_TF-9",0,3342.39456621507,3960.3841360105,7284.521797064,6178.40516018062,7146.84741784955,10058.0111744462,6129.23291138505,6440.78067950083,13258.0013702982,4051.14553155002,7576.47205678445,3641.09302256633,3611.7537988143,4054.69002317244,5046.86554693245,5320.5859649235,3985.26049031576,3982.86166304793,3161.57987424651,2013.37519676242,1197.9451976468,12600.5529537135,19040.4936695121,18473.7484352739,21555.0249993213,20107.8759564642,19669.7510831268,19275.6814022951
"CH-LF_TF-7",3342.39456621507,0,1589.81087847607,3942.12723084892,4356.57814040045,4514.08793009732,7274.69304679991,3771.17199282955,5141.93378100281,11364.4563493133,996.636191772334,5951.41203929289,726.811906293799,7154.87197914537,7884.16041711985,8326.84576582409,8737.86616115153,7812.21276290309,7382.55726801379,6335.86477444847,5846.67983367488,3575.51323635886,9392.05667781356,16595.5099751718,15143.22291623,18420.2827537153,16865.3217515046,16343.6947714029,16018.5602092911
"CH-LF_TF-21",3960.3841360105,1589.81087847607,0,4067.47757809951,2770.61132686243,3213.11404580536,6123.84319784987,4907.85014215644,6635.35340881297,9779.95826003841,2361.31776889932,7405.72154353943,2274.17934003152,7640.0561520678,8492.90355712477,9422.49774149305,9791.05386396739,8414.5943898558,8419.24524307141,7467.71819082374,6462.39311170158,4667.90080996628,8737.36287405349,15165.1783751126,15109.9278353733,17690.2741155668,16920.3360397147,16380.7569327642,16065.1577428051
"CH-LF_TF-1",7284.521797064,3942.12723084892,4067.47757809951,0,5226.34763303032,3827.33630458063,5332.57015091935,3088.29394495949,5470.06688792779,10646.3547562423,3620.13202729971,5564.88363301683,3915.64198715179,11168.1582350106,11865.0372187715,12002.3124371924,12425.0533251197,11831.0157213334,11085.2796019811,10019.6344832629,9787.30592591475,7348.25780805378,6095.24459033571,14448.2661364409,11242.2210316075,14720.8927520665,13044.1489676385,12508.0547911812,12191.4916947632
"CH-LF_TF-24",6178.40516018062,4356.57814040045,2770.61132686243,5226.34763303032,0,1976.69942160515,4563.16450636642,7390.81872736644,9179.08124472428,7101.1052048103,5086.07634685708,9920.45556648836,5124.59664496895,9150.58500877178,10357.081121689,11824.0524853501,12147.4550572487,10106.6366830023,10778.6513771308,9935.65936883626,8635.76878308108,7204.74263016962,7847.45748263938,12975.1581409167,15064.5030744367,16406.9872324738,16918.6984018693,16336.0681878926,16021.6797484798
"CH-LF_TF-22",7146.84741784955,4514.08793009732,3213.11404580536,3827.33630458063,1976.69942160515,0,2911.21798663785,6528.70472975739,8847.4455612423,7259.24318584318,5008.25934066762,9076.31486815606,5172.59612903423,10777.078930226,11651.2981524231,12801.1201799079,13169.6763023823,11569.5843327328,11797.8676814863,10846.3406292386,9797.02028277562,8046.33921475855,5872.32223155885,12081.4220450744,13087.8876347201,14730.2343471962,15037.4308982826,14359.5330545362,14045.1791317033
"CH-LF_TF-23",10058.0111744462,7274.69304679991,6123.84319784987,5332.57015091935,4563.16450636642,2911.21798663785,0,8532.62920736663,10895.9028061545,5985.53364736971,7651.74081067261,11029.2714110149,7819.03221148833,13671.9450939534,14548.3162638697,15718.3143138688,16086.8704363431,14466.6024441794,14715.0618154471,13763.5347631995,12715.0829372514,10963.5333487194,3733.77642895048,9571.30278652196,11200.8086334166,11875.3133570218,13710.6976147578,12485.1068874355,12479.3078822434
"CH-LF_TF-4",6129.23291138505,3771.17199282955,4907.85014215644,3088.29394495949,7390.81872736644,6528.70472975739,8532.62920736663,0,2384.70723378844,13491.5372417162,2994.35600556359,2580.59287162605,3233.08218307272,10130.93332276,10286.5914649183,10049.0013426087,10491.4514154492,10434.5945974207,9210.93565288831,8086.03257359239,8258.95856709304,5770.82676352803,8803.16442054777,17367.1014266187,13187.4106172637,17161.6474765599,14464.7974964958,14133.6062301203,13660.4961059238
"CH-LF_TF-3",6440.78067950083,5141.93378100281,6635.35340881297,5470.06688792779,9179.08124472428,8847.4455612423,10895.9028061545,2384.70723378844,0,15428.7167182238,4163.21613749091,1387.42217686586,4268.44737261965,9849.53677893578,9783.56991474573,8653.29764174587,9158.47632029605,9945.80898976281,8146.556433511,7155.87625875912,7841.01377533192,5476.52300272023,10817.7255941754,19393.6487071156,14669.6474229985,19032.6780617092,15865.2336112068,15582.0655278407,15107.7641655002
"CH-LF_TF-25",13258.0013702982,11364.4563493133,9779.95826003841,10646.3547562423,7101.1052048103,7259.24318584318,5985.53364736971,13491.5372417162,15428.7167182238,0,12118.8919290727,16275.7863629479,12158.6583084198,15891.5754362549,17274.1761594992,18946.615615469,19258.4845000407,16969.0075732899,17901.0045600222,17058.2224989552,15707.4023178963,14327.4890844959,8219.13672162327,7152.7889236561,15774.6821861971,13523.3571590329,18499.6319695216,17184.6130477921,17264.0488917798
"CH-LF_TF-5",4051.14553155002,996.636191772334,2361.31776889932,3620.13202729971,5086.07634685708,5008.25934066762,7651.74081067261,2994.35600556359,4163.21613749091,12118.8919290727,0,5084.65321176217,363.144040598061,7808.52665310208,8293.90774589461,8469.07091647896,8891.8118044063,8348.84656714324,7551.65493419462,6486.39296254944,6223.93336853092,3777.12833517684,9002.03671454997,16699.4875464271,14524.6164022685,18033.6152072279,16118.0467508723,15640.0002120935,15284.8266451605
"CH-LF_TF-2",7576.47205678445,5951.41203929289,7405.72154353943,5564.88363301683,9920.45556648836,9076.31486815606,11029.2714110149,2580.59287162605,1387.42217686586,16275.7863629479,5084.65321176217,0,5010.44627412906,10969.7543618415,10921.1028278472,9835.47454131455,10340.2824388096,11083.3419028643,9377.48610499664,8386.80593024475,8978.54668843342,6597.13260652067,10530.803477558,19287.7965898033,13911.8187905267,18423.6207852083,14960.2778984972,14824.2368953689,14229.1416142544
"CH-LF_TF-6",3641.09302256633,726.811906293799,2274.17934003152,3915.64198715179,5124.59664496895,5172.59612903423,7819.03221148833,3233.08218307272,4268.44737261965,12158.6583084198,363.144040598061,5010.44627412906,0,7460.02301282914,7956.95914671676,8146.95213817661,8567.0222804768,7986.5590703579,7225.42534718367,6161.60343861994,5878.40036412924,3440.179735999,9259.50806402318,16876.7627884403,14867.6224295229,18347.109779903,16520.1550046301,16037.3529522206,15686.9348989184
"CH-LF_TF-10",3611.7537988143,7154.87197914537,7640.0561520678,11168.1582350106,9150.58500877178,10777.078930226,13671.9450939534,10130.93332276,9849.53677893578,15891.5754362549,7808.52665310208,10969.7543618415,7460.02301282914,0,1653.79767210533,4634.81998721188,4594.60378581291,1165.16615932253,3770.01134619074,3768.44938188026,1976.05885516642,4060.62322291263,15283.4830487485,21061.4033593114,21291.0027533919,24236.3942902618,23053.7659159988,22532.1389358971,22207.0043737853
"CH-LF_TF-19",4054.69002317244,7884.16041711985,8492.90355712477,11865.0372187715,10357.081121689,11651.2981524231,14548.3162638697,10286.5914649183,9783.56991474573,17274.1761594992,8293.90774589461,10921.1028278472,7956.95914671676,1653.79767210533,0,3270.11993195789,3152.17872524931,525.507091372729,2499.10477930013,2909.61045873698,1881.70729960858,4348.10708797,16179.2291589457,22248.3826533321,22044.9931265169,25133.7012045535,23454.4849682883,23066.105919012,22622.2904141192
"CH-LF_TF-17",5046.86554693245,8326.84576582409,9422.49774149305,12002.3124371924,11824.0524853501,12801.1201799079,15718.3143138688,10049.0013426087,8653.29764174587,18946.615615469,8469.07091647896,9835.47454131455,8146.95213817661,4634.81998721188,3270.11993195789,0,509.391908681661,3659.56403025886,800.270518471817,1636.76436918677,3240.85734755502,4547.10588338552,16716.1618351864,23454.7498357464,21981.4831459842,25511.9078073396,23390.9749877556,23002.5959384793,22558.7804335865
"CH-LF_TF-18",5320.5859649235,8737.86616115153,9791.05386396739,12425.0533251197,12147.4550572487,13169.6763023823,16086.8704363431,10491.4514154492,9158.47632029605,19258.4845000407,8891.8118044063,10340.2824388096,8567.0222804768,4594.60378581291,3152.17872524931,509.391908681661,0,3526.28028440667,1047.32472824454,1969.61256502027,3383.60794865592,4850.06155730952,17052.5710823651,23751.540875271,22326.5804259849,25857.0050873403,23736.0722677563,23347.6932184799,22903.8777135872
"CH-LF_TF-20",3985.26049031576,7812.21276290309,8414.5943898558,11831.0157213334,10106.6366830023,11569.5843327328,14466.6024441794,10434.5945974207,9945.80898976281,16969.0075732899,8348.84656714324,11083.3419028643,7986.5590703579,1165.16615932253,525.507091372729,3659.56403025886,3526.28028440667,0,2921.45500052956,3209.9835337074,1943.79042528258,4401.37145897656,16053.3230280405,21941.3630747404,21932.834648359,25006.2342695538,23546.6256742205,23145.1755507031,22714.4311200514
"CH-LF_TF-16",3982.86166304793,7382.55726801379,8419.24524307141,11085.2796019811,10778.6513771308,11797.8676814863,14715.0618154471,9210.93565288831,8146.556433511,17901.0045600222,7551.65493419462,9377.48610499664,7225.42534718367,3770.01134619074,2499.10477930013,800.270518471817,1047.32472824454,2921.45500052956,0,1030.63969479322,2487.04496530015,3821.28569478742,16068.279075266,22714.5815533788,21371.6543780547,24902.0790394101,22781.1462198262,22392.7671705498,21948.9516656571
"CH-LF_TF-12/13/14/15",3161.57987424651,6335.86477444847,7467.71819082374,10019.6344832629,9935.65936883626,10846.3406292386,13763.5347631995,8086.03257359239,7155.87625875912,17058.2224989552,6486.39296254944,8386.80593024475,6161.60343861994,3768.44938188026,2909.61045873698,1636.76436918677,1969.61256502027,3209.9835337074,1030.63969479322,0,2302.02755018248,2916.66996206094,15085.1417886013,21869.411039547,20373.5840747006,23904.0087360561,21783.0759164721,21394.6968671957,20950.881362303
"CH-LF_TF-11",2013.37519676242,5846.67983367488,6462.39311170158,9787.30592591475,8635.76878308108,9797.02028277562,12715.0829372514,8258.95856709304,7841.01377533192,15707.4023178963,6223.93336853092,8978.54668843342,5878.40036412924,1976.05885516642,1881.70729960858,3240.85734755502,3383.60794865592,1943.79042528258,2487.04496530015,2302.02755018248,0,2490.80862306064,14352.1712967447,20700.6501578595,20215.2732771871,23306.6433423525,21637.7713278858,21249.3922786094,20805.5767737167
"CH-LF_TF-8",1197.9451976468,3575.51323635886,4667.90080996628,7348.25780805378,7204.74263016962,8046.33921475855,10963.5333487194,5770.82676352803,5476.52300272023,14327.4890844959,3777.12833517684,6597.13260652067,3440.179735999,4060.62322291263,4348.10708797,4547.10588338552,4850.06155730952,4401.37145897656,3821.28569478742,2916.66996206094,2490.80862306064,0,12270.6315902674,19092.5581659757,17751.1107335937,21279.525885704,19163.4052840162,18775.0262347398,18331.2107298471
"IX-LF_TF-1",12600.5529537135,9392.05667781356,8737.36287405349,6095.24459033571,7847.45748263938,5872.32223155885,3733.77642895048,8803.16442054777,10817.7255941754,8219.13672162327,9002.03671454997,10530.803477558,9259.50806402318,15283.4830487485,16179.2291589457,16716.1618351864,17052.5710823651,16053.3230280405,16068.279075266,15085.1417886013,14352.1712967447,12270.6315902674,0,9047.79408194361,7934.42660774483,9182.30747009172,10472.6877295864,9233.95855245257,9237.10465184457
"IX-LF_TF-2/3",19040.4936695121,16595.5099751718,15165.1783751126,14448.2661364409,12975.1581409167,12081.4220450744,9571.30278652196,17367.1014266187,19393.6487071156,7152.7889236561,16699.4875464271,19287.7965898033,16876.7627884403,21061.4033593114,22248.3826533321,23454.7498357464,23751.540875271,21941.3630747404,22714.5815533788,21869.411039547,20700.6501578595,19092.5581659757,9047.79408194361,0,13219.9488785266,8454.71037951756,16683.5897827172,14409.7434101162,15178.532695877
"TX-LF_TF-5",18473.7484352739,15143.22291623,15109.9278353733,11242.2210316075,15064.5030744367,13087.8876347201,11200.8086334166,13187.4106172637,14669.6474229985,15774.6821861971,14524.6164022685,13911.8187905267,14867.6224295229,21291.0027533919,22044.9931265169,21981.4831459842,22326.5804259849,21932.834648359,21371.6543780547,20373.5840747006,20215.2732771871,17751.1107335937,7934.42660774483,13219.9488785266,0,6073.18717357477,3595.35870517218,1492.3600787329,2035.50258283862
"TX-LF_TF-6/7/8",21555.0249993213,18420.2827537153,17690.2741155668,14720.8927520665,16406.9872324738,14730.2343471962,11875.3133570218,17161.6474765599,19032.6780617092,13523.3571590329,18033.6152072279,18423.6207852083,18347.109779903,24236.3942902618,25133.7012045535,25511.9078073396,25857.0050873403,25006.2342695538,24902.0790394101,23904.0087360561,23306.6433423525,21279.525885704,9182.30747009172,8454.71037951756,6073.18717357477,0,9773.23205062471,7337.1567513043,8328.825530925
"TX-LF_TF-2",20107.8759564642,16865.3217515046,16920.3360397147,13044.1489676385,16918.6984018693,15037.4308982826,13710.6976147578,14464.7974964958,15865.2336112068,18499.6319695216,16118.0467508723,14960.2778984972,16520.1550046301,23053.7659159988,23454.4849682883,23390.9749877556,23736.0722677563,23546.6256742205,22781.1462198262,21783.0759164721,21637.7713278858,19163.4052840162,10472.6877295864,16683.5897827172,3595.35870517218,9773.23205062471,0,1820.86398902141,1210.50276878278
"TX-LF_TF-1",19669.7510831268,16343.6947714029,16380.7569327642,12508.0547911812,16336.0681878926,14359.5330545362,12485.1068874355,14133.6062301203,15582.0655278407,17184.6130477921,15640.0002120935,14824.2368953689,16037.3529522206,22532.1389358971,23066.105919012,23002.5959384793,23347.6932184799,23145.1755507031,22392.7671705498,21394.6968671957,21249.3922786094,18775.0262347398,9233.95855245257,14409.7434101162,1492.3600787329,7337.1567513043,1820.86398902141,0,1150.20314192254
"TX-LF_TF-3/4",19275.6814022951,16018.5602092911,16065.1577428051,12191.4916947632,16021.6797484798,14045.1791317033,12479.3078822434,13660.4961059238,15107.7641655002,17264.0488917798,15284.8266451605,14229.1416142544,15686.9348989184,22207.0043737853,22622.2904141192,22558.7804335865,22903.8777135872,22714.4311200514,21948.9516656571,20950.881362303,20805.5767737167,18331.2107298471,9237.10465184457,15178.532695877,2035.50258283862,8328.825530925,1210.50276878278,1150.20314192254,0
