"","CH-LTAzI_EA-24","CH-LTAzI_EA-25","CH-LTAzI_EA-26","CH-LTAzI_EA-27","CH-LTAzI_EA-28","CH-LTAzI_EA-3","CH-LTAzI_EA-29","CH-LTAzI_EA-30","CH-LTAzI_EA-31","CH-LTAzI_EA-32","CH-LTAzI_EA-33/34","CH-LTAzI_EA-35","CH-LTAzI_EA-36","CH-LTAzI_EA-4","CH-LTAzI_EA-37","CH-LTAzI_EA-38","CH-LTAzI_EA-39","CH-LTAzI_EA-40","CH-LTAzI_EA-41","CH-LTAzI_EA-42/43","CH-LTAzI_EA-44","CH-LTAzI_EA-45","CH-LTAzI_EA-46","CH-LTAzI_EA-5","CH-LTAzI_EA-47/48","CH-LTAzI_EA-49","CH-LTAzI_EA-50","CH-LTAzI_EA-51","CH-LTAzI_EA-52","CH-LTAzI_EA-6/7","CH-LTAzI_EA-53","CH-LTAzI_EA-54","CH-LTAzI_EA-55","CH-LTAzI_EA-8","CH-LTAzI_EA-56","CH-LTAzI_EA-57","CH-LTAzI_EA-58","CH-LTAzI_EA-59","CH-LTAzI_EA-60","CH-LTAzI_EA-61","CH-LTAzI_EA-62","CH-LTAzI_EA-63","CH-LTAzI_EA-64","CH-LTAzI_EA-65","CH-LTAzI_EA-66","CH-LTAzI_EA-9","CH-LTAzI_EA-67","CH-LTAzI_EA-68","CH-LTAzI_EA-10","CH-LTAzI_EA-1","CH-LTAzI_EA-11","CH-LTAzI_EA-13","CH-LTAzI_EA-12","CH-LTAzI_EA-2","CH-LTAzI_EA-14","CH-LTAzI_EA-15","CH-LTAzI_EA-16","CH-LTAzI_EA-17","CH-LTAzI_EA-18","CH-LTAzI_EA-19","CH-LTAzI_EA-20","CH-LTAzI_EA-21","CH-LTAzI_EA-22","CH-LTAzI_EA-23","IX-LTAzI_EA-2","IX-LTAzI_EA-1","IX-LTAzI_EA-4","IX-LTAzI_EA-5/4XO-LTAzI_EA-5/4","TX-LTAzI_EA-2","TX-LTAzI_EA-3","TX-LTAzI_EA-4","IX-LTAzI_EA-3/1TX-LTAzI_EA-3/1","XO-LTAzI_EA-1","XO-LTAzI_EA-2","XO-LTAzI_EA-3"
"CH-LTAzI_EA-24",0,418.539074312966,1055.61606907082,2004.74901371092,2276.2373789767,11613.1342425688,3974.88884190901,4362.49648879835,3191.17555337605,2908.73696388737,2091.58685919656,2488.37681384442,3112.0109602876,10674.598101625,3748.32957196156,4040.60876369081,4528.04448430867,4840.44796526805,4643.34890643691,5064.92675385693,5704.09225753897,10149.4428184507,8879.01955310857,8902.50782725679,8853.46221039385,10230.7524045663,11439.1964955497,10279.0470608014,10480.5649703306,7397.3301723804,10758.1687092888,10911.7007631307,11764.4439317156,7706.14167388757,14455.1452211025,13508.0358097856,11692.8546478287,11936.7391876015,12300.9677036258,12570.634890918,13357.5482540275,13506.2483379045,13589.3834763524,13205.975723345,12237.1846767411,5477.53844330758,14362.2102845215,13519.046263321,4274.01650112258,13963.5851860798,6232.92769002099,3852.91177410141,5973.85606349598,12779.822689993,2703.54884681316,1039.40353008991,1733.03857610725,2012.13549245536,600.581518634435,348.0981604919,2893.31091343138,2862.28500887468,2049.9405423516,2806.46853608647,18641.553512231,18230.6006736462,17142.7391286973,25390.4715781764,21205.8795746308,22266.6415541016,23891.6428307555,19271.3852660259,17141.0572076259,17016.5001298814,15902.6591356077
"CH-LTAzI_EA-25",418.539074312966,0,678.470686152028,1586.20993939795,1953.72589245455,11541.0863123988,3574.05821401719,3997.12321862183,2865.45812757829,2546.0434943121,1849.03997677309,2152.99854746291,2878.48411718766,10602.5501714551,3340.18709280512,3807.62510173456,4295.06082235241,4607.4643033118,4410.36524448066,4815.78808210402,5451.48109515642,9909.02064512022,8640.38030090054,8830.96904504098,8524.41075197542,9954.00417214198,11186.5853331671,9937.36476085227,10138.8826703814,7325.28224221048,10400.5770389356,10570.0184631815,11422.7616317664,7728.81211893479,14113.4629211533,13166.3535098364,11328.5895386841,11572.4740784569,11952.319332523,12206.3697817733,12999.9565836744,13148.3381202789,13225.1183672077,12841.7106142004,11872.9195675964,5553.68387459973,13997.9451753769,13145.2199944675,4270.20299068888,13891.5372559099,6541.2561858857,4238.29246306076,6385.78690169634,12707.7747598231,3113.33107690603,1465.24456860521,2149.55901324003,2396.81819033564,1077.06562063222,820.064664464749,3101.04935310178,2941.3333191371,2059.26401171062,2734.54845499159,18408.5698502747,18153.7352155007,16890.1279663148,25026.2064690317,20963.8965972059,22024.6585766767,23649.6598533306,19029.402288601,16776.7920984813,16652.2350207368,15538.394026463
"CH-LTAzI_EA-26",1055.61606907082,678.470686152028,0,1120.55526435922,1812.28841587144,11130.4518202503,2933.17968886884,3326.54577132963,2236.81666371383,1874.83628207119,1257.44713651048,1524.35708359845,2265.08112935429,10191.9156793066,2715.54393041904,3227.88599565072,3718.66663784901,4027.40559619132,3830.30653736018,4188.8697751565,4824.5627882089,9282.1023381727,8013.46199395303,8450.58803765821,7872.33081655815,9313.56871699674,10558.9786085072,9285.284825435,9486.80273496414,6914.91169195739,9729.99959164342,9917.93852776422,10770.6816963491,7465.52930977345,13461.3829857361,12514.2735744192,10658.0120913919,10901.8966311647,11281.7418852308,11535.7923344811,12329.3791363822,12477.7606729867,12554.5409199156,12171.1331669082,11202.3421203042,5406.73075411406,13327.3677280847,12478.3370222541,4063.13259778957,13354.6417908368,6749.21960637299,4497.73468278965,6776.9527146164,12169.3455856459,3536.06024768247,2091.63885373453,2606.9771001723,2703.42303866446,1667.08557068688,1380.62078380102,3201.47616846998,2858.72904841956,1928.98768136829,2481.89469762083,17828.5111431543,17577.3410309973,16262.5212416549,24355.6290217396,20336.9782902584,21397.7402697292,23022.7415463831,18402.4839816535,16106.2146511891,15981.6575734446,14867.8165791709
"CH-LTAzI_EA-27",2004.74901371092,1586.20993939795,1120.55526435922,0,1003.14275610761,11564.8344188595,2248.05283571064,2760.65173497829,2176.60919184088,1394.17981851394,1582.70610223456,1536.55281095171,2460.139601074,10614.1329890529,1869.02505185778,3435.63950863743,3914.96787862235,4202.50094775182,3941.07012823286,4097.24173226454,4704.37328267927,9146.83065634417,7922.27816023718,9021.71546842535,7515.54920545828,9041.09238570987,10348.444403034,8928.50321433513,8998.69079243186,7402.12095460838,9157.15053723627,9402.77665803622,10259.9151069117,8099.36059256313,12898.2484049481,11991.7393834298,10067.7412571214,10311.6257968942,10708.8928308236,10945.5215002106,11756.530081975,11889.8804707405,11964.270085645,11580.8623326376,10612.0712860337,6155.80685489029,12737.0968938142,11803.4757095026,4718.15460643964,13579.3374859406,7665.3799590315,5412.61914714849,7635.44794558341,12394.0412807496,4380.55149557709,2604.56453430203,3431.879714347,3586.39547536767,2377.17769089859,2121.80549208623,4113.27189110979,3657.34458038988,2728.2964279993,3149.26425262997,18010.1586814073,17802.0367261011,15957.2508701495,23765.358187469,20183.5176682061,21243.1542366068,22869.5956230668,18249.3380583372,15515.9438169186,15391.3867391741,14277.5457449003
"CH-LTAzI_EA-28",2276.2373789767,1953.72589245455,1812.28841587144,1003.14275610761,0,12394.0342220514,2993.96660684965,3566.34171740941,3108.3369894526,2285.62933240303,2406.21091447613,2449.38453903741,3364.59442200067,11455.4980811077,2472.16080053766,4340.0943295641,4819.42269954902,5106.95576867848,4853.90185631856,5014.63867138985,5595.38679914787,9982.08792244633,8816.21926649905,9845.22028066692,8350.80647156044,9876.34965181202,11183.7016691361,9763.76048043728,9806.89647056914,8225.62576684995,9959.60964443705,10210.9823361735,11068.120785049,8877.18182280007,13703.9383873792,12799.9450615671,10842.2900418715,11096.9467367734,11514.5828132547,11713.8107258858,12545.6988565015,12677.5267452849,12740.2277206582,12304.8978914588,11288.9490818634,6845.78208109472,13469.8406614556,12317.5166900868,5475.71549150668,14483.7923068673,8081.27689707634,5780.14431996237,7905.43035827988,13298.4961016763,4472.24043933076,2507.75980211212,3668.01999259778,3938.24183594581,2453.98897163128,2258.26571432232,4564.69996688018,4307.24023769736,3378.71157343909,3893.54721064745,18914.6135023339,18706.4915470278,16792.5081362517,24441.7389839588,21018.7749343082,22078.4115027089,23704.852889169,19084.5953244394,16247.2050172342,16085.1461675043,14955.4180953487
"CH-LTAzI_EA-3",11613.1342425688,11541.0863123988,11130.4518202503,11564.8344188595,12394.0342220514,0,11160.2560157579,10422.7031460767,10028.1516431777,11078.9789175515,10137.2990863749,10238.4663313616,9140.07621088746,936.160999492547,11846.6211668019,8211.75954788819,7597.61831998474,7426.88098816563,7790.97673618836,8158.16975218819,8013.5757065801,6794.23591882379,6284.05403445755,2468.95712182418,8594.79950058817,8539.57955693374,8589.92666800151,9147.47005510001,9600.48198895788,3959.41640756069,11454.0623025576,10835.8108161853,10674.2284103223,5066.53462890315,13347.0255229233,12602.6413017386,12357.8749166814,12345.3295959868,12211.7455271746,12872.4048632907,13014.2562091328,13200.8328605234,13406.1575848358,13399.6770957092,13264.3204208168,7970.99075197276,14063.5075706913,15445.8762174759,7989.87488717194,3998.02854245116,8955.18111320724,11214.0168647155,11827.7497236511,3345.30361253287,12281.5794609577,12746.9594799079,11881.7254424798,11278.9821789171,12125.8121564951,11956.7456724723,10288.5998838452,9670.80225699771,9893.44942502498,9125.40892960652,9398.82615055626,7785.06347467422,12839.407761926,24110.0479304848,15158.0271211879,16523.9815991582,16496.293515926,13383.1150216573,15976.0492945527,16016.7869742548,15509.7279917526
"CH-LTAzI_EA-29",3974.88884190901,3574.05821401719,2933.17968886884,2248.05283571064,2993.96660684965,11160.2560157579,0,688.444843438188,1197.77024413255,917.752881956138,1944.44513469915,1376.01734035029,1920.24940883844,9448.52039672074,783.574329187868,2400.47629269029,2788.37327304795,2826.78380535359,2464.92146000712,2359.71784038131,2837.53892444634,7140.79511950928,6073.14647396723,8362.84023295049,5504.15917897697,7030.20182099111,8337.5734156807,6847.48585507519,6889.09762452737,6728.68475837301,6977.50484477993,7272.02176777538,8130.01809582979,7931.8110322872,10739.6859796204,9857.06663546279,7873.25854896916,8117.16727178141,8538.03115809867,8751.03879205838,9563.59405684442,9695.42194562777,9769.81156053227,9363.84873164032,8387.24524484329,6603.48487075412,10528.7915016371,9571.16178045027,4996.62653440926,12076.6380510501,8739.82055765998,6815.16221452437,9129.78705445405,10891.3145327967,5935.29702195755,4555.53396736775,5010.37635194012,5050.35841967566,4193.81324753958,3906.67709352244,5148.46216905079,4432.31136925954,3608.1049130448,3652.17650671794,16439.8635836573,16296.9633772515,13860.0991184251,21541.5017613047,18172.8519012318,19232.4884696325,20858.9298560926,16238.672291363,13306.1558574157,13171.6518077802,12053.9071740446
"CH-LTAzI_EA-30",4362.49648879835,3997.12321862183,3326.54577132963,2760.65173497829,3566.34171740941,10422.7031460767,688.444843438188,0,1200.88954632913,1562.69425705384,2162.72300109958,1620.91585007126,1763.9055470691,8931.28513571275,1666.16661841618,1985.89005842636,2373.78703878401,2317.30500795858,1954.50181310146,1716.79459527902,2176.74005547475,6460.21161363398,5412.34760499564,7942.90300766416,4824.5965894296,6350.13976968118,7657.49178700529,6198.94298370755,6240.55475315973,6314.09852410907,6404.39138213746,6644.64061876409,7501.77906763962,7627.96049920211,10145.4892498493,9233.60334415768,7331.46632006226,7575.35085983505,7956.13367572481,8209.24656315148,9003.77092687624,9152.15246348073,9227.99514858592,8844.58739557854,7875.79634897458,6460.16384410679,10000.8219567551,9226.6432263998,4853.30550776194,11431.6262941209,8675.37304575871,7082.65040393558,9412.65731914524,10246.3027758676,6392.79451601754,5257.49255265897,5491.98956573782,5363.72020961754,4831.66879164683,4542.69130435362,5394.60160521153,4631.27886813498,3843.38016103823,3676.76464596508,15793.5783708639,15651.9516203223,13231.8600902349,21029.0832504099,17492.5650521774,18552.2016205781,20178.6430070381,15558.3854423085,12779.6688798594,12655.111802115,11541.2708078412
"CH-LTAzI_EA-31",3191.17555337605,2865.45812757829,2236.81666371383,2176.60919184088,3108.3369894526,10028.1516431777,1197.77024413255,1200.88954632913,0,1104.3079779986,1050.81930049615,573.775595540546,727.393624019121,8673.04094222194,1983.64371643527,1499.71149980579,1952.23773103137,2125.64997524059,1809.10392078106,1991.93005490656,2599.0616053213,7081.92600850236,5816.96648287921,7397.33016882085,5675.13424620582,7088.54604456369,8322.16194479338,7088.08825508266,7289.60616461181,5763.17469424336,7569.60338128152,7720.7419574119,8573.48512599681,6744.21859005339,11264.1864153837,10317.0770040668,8510.05484518023,8753.80770621182,9110.00889790703,9387.83508826945,10168.9829260203,10318.8023690749,10406.5361747166,10023.1759206965,9054.71913663892,5424.71044729893,11179.410481873,10495.1830772494,3817.85211095408,11559.1489301247,7626.51412735082,5944.73599606292,8280.06698925571,10373.8254118714,5319.58698075107,4326.78158225332,4418.98474181082,4287.57736694454,3831.25802453518,3543.09811624053,4242.71973000125,3471.89773980969,2691.49828582794,2561.75780824345,15929.8228578235,15781.3308005959,14025.7045779411,22207.9555000931,18135.7040638104,19195.3406322111,20821.7820186711,16201.5244539415,13958.2099059901,13833.7003272329,12719.9739955442
"CH-LTAzI_EA-32",2908.73696388737,2546.0434943121,1874.83628207119,1394.17981851394,2285.62933240303,11078.9789175515,917.752881956138,1562.69425705384,1104.3079779986,0,1186.6733123524,657.54960850332,1464.83702821362,9475.64777013039,1142.71177818319,2301.84016783427,2766.03007734507,2920.20631760977,2592.53741378104,2747.66198085785,3336.46899149039,7802.2833867171,6557.30145884158,8159.89920029415,6171.43293282312,7696.97611307471,9004.32813039882,7584.38694169997,7675.57986082313,6525.74372571666,7858.59376220973,8079.66572642749,8936.80417530302,7496.94564753725,11598.2737134296,10668.6284518211,8786.60626195821,9030.49080173101,9410.33605579708,9664.38650504743,10457.9733069485,10606.354843553,10683.1350904819,10299.7273374745,9330.93629087054,5928.44358894957,11455.961898651,10611.6897164186,4345.45122043419,12342.7041909224,7851.38078525933,5922.25573852907,8236.88057845876,11157.3806726691,5031.35200040842,3709.84392595002,4106.43133039098,4157.45194368036,3296.07737489532,3008.4247096302,4260.02239665014,3685.83330157856,2762.86816407806,2961.88008910389,16713.0241450231,16564.7334887528,14613.1345975144,22484.2231923059,18839.4013955709,19899.0379639716,21525.4793504317,16905.2217857021,14234.8088217554,14110.2517440109,12996.4107497372
"CH-LTAzI_EA-33/34",2091.58685919656,1849.03997677309,1257.44713651048,1582.70610223456,2406.21091447613,10137.2990863749,1944.44513469915,2162.72300109958,1050.81930049615,1186.6733123524,0,656.267004636049,1031.48695391502,9049.31345451774,2667.86477703585,1970.43885914024,2461.21950133853,2769.95845968084,2572.8594008497,2993.73042985205,3641.63113376405,8078.95331286349,6808.53004752137,7439.03565407698,6797.88778927808,8175.17798345057,9383.62207443388,8233.00282006288,8435.51017156863,5819.44114026001,8805.35753858324,8956.49611471361,9721.97828307663,6528.60945021845,12499.9405726854,11552.8311613686,9745.80900248194,9989.56186351354,10345.7630552088,10623.5892455712,11404.737083322,11554.5565263766,11642.2903320183,11258.9300779982,10290.4732939406,4754.41490946384,12415.1646391748,11730.9372345511,3271.3719082465,12097.1946543263,6823.78412616931,4923.62805413639,7255.27477881602,10911.8984491354,4270.95805395429,3420.12388148813,3371.1678229969,3237.60655268248,2855.15429130275,2570.11759965142,3232.42573756013,2520.11159902068,1681.20429338682,1781.00420205607,16571.0640066438,16319.8938944868,15087.1647075816,23443.7096573948,19135.3900690436,20196.1520485144,21821.1533251683,17200.8957604387,15193.9640632918,15069.4544845347,13955.7281528459
"CH-LTAzI_EA-35",2488.37681384442,2152.99854746291,1524.35708359845,1536.55281095171,2449.38453903741,10238.4663313616,1376.01734035029,1620.91585007126,573.775595540546,657.54960850332,656.267004636049,0,961.812682604973,9149.88757121174,2075.75733044942,1914.34066075872,2393.66903074364,2671.42205372911,2404.51731728115,2688.82268633065,3311.52118543668,7782.05524934686,6513.41490512718,7646.36450015893,6377.71623808018,7801.00562467906,9034.62152490875,7790.67024695703,7992.18815648617,6012.20902558144,8272.18537315588,8423.32394928626,9276.06711787117,6852.53359446843,11966.7684072581,11019.6589959412,9212.63683705459,9456.38969808619,9812.5908897814,10090.4170801438,10871.5649178947,11021.3843609492,11109.1181665909,10725.7579125709,9757.30112851328,5274.30737189397,11881.9924737474,11146.2909729783,3687.90161193087,12060.6455225242,7395.16731104125,5489.80210649334,7816.76307126228,10875.3493173333,4781.57036605346,3755.69582978826,3880.76541577374,3751.57766620802,3260.17227207011,2972.01236377547,3803.80892243207,3057.83902902728,2252.58747825876,2307.74387204829,16484.7063063095,16283.3447626848,14738.1641580564,22910.5374919674,18836.9312014325,19897.6931809033,21522.6944575573,16902.4368928276,14660.7918978645,14536.2823191073,13422.5559874186
"CH-LTAzI_EA-36",3112.0109602876,2878.48411718766,2265.08112935429,2460.139601074,3364.59442200067,9140.07621088746,1920.24940883844,1763.9055470691,727.393624019121,1464.83702821362,1031.48695391502,961.812682604973,0,8223.77952886106,2931.91863488891,990.629235632696,1469.95760561762,1764.23458572407,1567.13552689293,2125.16333896145,2773.06404287345,7073.18110499795,5802.80617356459,6723.50284988708,5940.76959505209,7317.95803396704,8522.9006798665,7375.88462583689,7578.74221405533,5089.34737530959,8058.83830621791,8142.9888416436,8865.21032556333,6047.38667109225,11738.4219469885,10783.8430110425,9001.86761738993,9244.34957030872,9589.99687307006,9879.64786047915,10657.9742385245,10809.2993292109,10898.2517733157,10514.9886929062,9547.18374812055,4710.15757661622,11671.2232540827,11080.333147655,3103.29924027136,11134.8049400141,6916.17308619283,5563.34900510147,7888.83561838499,9949.5087348232,5086.92965204011,4533.03727599778,4297.27500444005,4036.3893251564,3923.90431998978,3669.48882647371,3742.08511646659,2919.3072556495,2273.35767733633,1964.7930334796,15565.4105538645,15357.5041801747,14223.6452009458,22699.8671715898,18129.1023582552,19189.8643377259,20814.8656143799,16194.6080496503,14449.8807460357,14325.5130994426,13211.7867677539
"CH-LTAzI_EA-4",10674.598101625,10602.5501714551,10191.9156793066,10614.1329890529,11455.4980811077,936.160999492547,9448.52039672074,8931.28513571275,8673.04094222194,9475.64777013039,9049.31345451774,9149.88757121174,8223.77952886106,0,11025.3183236589,7402.73232885269,6777.23626366348,6605.58292409802,6968.53557583448,7332.14756624139,7077.41470708755,5875.10235065376,5363.58362344258,2176.42900332746,7674.06697273786,7620.44598876371,7786.21883708182,8227.99943760025,8681.01137145811,3395.30817196411,10534.5082606951,9916.34019868553,9755.09484215226,4858.56103087222,12656.2258850003,11853.9531453778,11438.3208748189,11425.8589784871,11292.6119590046,11953.2493441921,12130.0168498295,12316.5935012201,12487.0240166657,12480.5435275392,12344.7663789543,7500.43430117028,13271.1404446566,14526.3221756134,7427.132626163,3969.31228136583,8691.16684596172,10922.3513621304,11589.2528725132,3059.85167005982,11718.8371999488,12184.217218899,11318.9831814709,10716.2399179082,11563.0698954862,11394.0034114634,9725.85762283623,9108.05999598877,9330.70716401604,8562.66666859757,9390.92876533917,8203.88355518072,12158.1415891702,23426.161339489,14759.3548500095,16063.2609276757,16270.9007586334,12938.7178442219,15290.879235908,15331.61691561,14782.3905541957
"CH-LTAzI_EA-37",3748.32957196156,3340.18709280512,2715.54393041904,1869.02505185778,2472.16080053766,11846.6211668019,783.574329187868,1666.16661841618,1983.64371643527,1142.71177818319,2667.86477703585,2075.75733044942,2931.91863488891,11025.3183236589,0,2888.6433517814,3276.54033213905,3334.74487960819,2972.93563283887,2951.96908460444,3435.34324128533,7767.3843653504,6670.95079080621,8825.76088717025,6126.38055748833,7652.42319950246,8959.79479419206,7468.81538422192,7498.81833627373,7191.60541259277,7510.77646372172,7824.56630338806,8705.31604346293,8169.28454959096,11275.7336551874,10399.2643760208,8372.23018457928,8626.88687948116,9071.62960875835,9242.71464138759,10096.3991157694,10207.729299026,10270.167863366,9833.80180696062,8857.19832016359,6734.92200746973,10998.7445769574,9975.64313985715,5135.68600567426,12651.3168446154,8611.54295736506,6573.1058224198,8886.82202381093,11465.9933263621,5648.15914011517,4088.14801601021,4720.12956014137,4807.85202658721,3738.68603388233,3452.22124699646,5027.38708495527,4477.18902183356,3554.22388433306,3756.05144824187,17015.8079934212,16871.6421708168,14435.3970660582,22011.454836625,18795.710854509,19855.3474229097,21481.7888093698,16861.5312446401,13776.108932736,13641.6048831005,12523.8602493649
"CH-LTAzI_EA-38",4040.60876369081,3807.62510173456,3227.88599565072,3435.63950863743,4340.0943295641,8211.75954788819,2400.47629269029,1985.89005842636,1499.71149980579,2301.84016783427,1970.43885914024,1914.34066075872,990.629235632696,7402.73232885269,2888.6433517814,0,506.80998533973,828.951685311786,695.754544077836,1499.41342772829,2098.51536887562,6140.00098123606,4869.02298477115,5977.58332868967,5192.05367245337,6561.29420501601,7764.85936469575,6621.39396953564,6862.67488982964,4343.42785411218,7578.54260154847,7622.06533830126,8219.45371940762,5643.68272549893,11250.7070162218,10287.6864095146,8529.91342978493,8763.50307766044,9105.65085950112,9399.58160166893,10173.6095117726,10325.5798004311,10415.5546195222,10036.4626565025,9213.57716802614,4680.77945376338,11188.9238525475,10880.3005419233,3144.74773959189,10150.8239926206,7007.26796568913,6365.29421197091,8604.78724808301,8965.52778742967,6093.8541854238,5664.59599342687,5320.12050934366,5016.99899409163,5054.96297635751,4801.01536133529,4529.19834982158,3625.15493953943,3220.42610845515,2652.68295153833,14628.8119537488,14373.5232327811,13465.603885775,22217.4306891398,17213.110339222,18273.9936648308,19898.7675528734,15278.5099881438,13966.4597919379,13842.8866921521,12730.6236696932
"CH-LTAzI_EA-39",4528.04448430867,4295.06082235241,3718.66663784901,3914.96787862235,4819.42269954902,7597.61831998474,2788.37327304795,2373.78703878401,1952.23773103137,2766.03007734507,2461.21950133853,2393.66903074364,1469.95760561762,6777.23626366348,3276.54033213905,506.80998533973,0,442.134679933259,582.548509089041,1490.31245030917,1948.12957875229,5697.00463699493,4424.85830795218,5604.67941727221,5005.93895718547,6250.92410745367,7453.87299732493,6368.72716060984,6686.91563634303,3970.52394269472,7415.28521566769,7448.32775229737,8044.18702143457,5471.45587590168,11076.9694302179,10113.9488235107,8438.93458754085,8590.676215048,8932.01170506731,9226.75473905649,9999.97035733879,10151.9406459973,10241.937672111,9873.31047574809,9224.44521495882,4757.69284496984,11015.3069051363,10894.7624628386,3235.60391292356,9666.97649178059,7087.45201041893,6680.04137734574,8917.43220599581,8481.68028658964,6610.89841351937,6252.38730576045,5904.41943635304,5529.99424759293,5642.7542886911,5388.80667366887,4845.1965762969,3941.15316601476,3774.42781100488,3027.6557959479,14179.7810977235,13889.6757319411,13154.4470338378,22043.791534706,16839.3307186695,17902.2913186172,19507.8215321391,14902.0325817191,13792.8206375041,13669.2475377182,12557.7968070808
