"","CH-MF_LF-7","CH-MF_LF-9","CH-MF_LF-6","CH-MF_LF-10","CH-MF_LF-4/5","CH-MF_LF-1","CH-MF_LF-8","CH-MF_LF-2","CH-MF_LF-3","IX-MF_LF-1","IX-MF_LF-2","IX-MF_LF-4","IX-MF_LF-3","TX-MF_LF-5","TX-MF_LF-6/7","TX-MF_LF-1","TX-MF_LF-4","TX-MF_LF-2/3","XO-MF_LF-1"
"CH-MF_LF-7",0,5228.37968501821,4878.95108569566,9832.3906473814,7157.81816804068,8739.61027619354,1509.34037314315,7197.4660820625,7049.96349223288,8403.08008680778,11222.156952625,15837.16049155,13290.8721422813,15109.9278353733,17585.0449206317,16920.3360397147,15310.6933694841,15851.0436720497,12837.2805561377
"CH-MF_LF-9",5228.37968501821,0,8215.52688135984,5744.40976911341,10464.614178479,6492.32374557786,4827.0472756471,6706.68500877662,7791.84824606978,4310.94931532868,6305.44381201899,10919.1308582772,8377.35601673332,12023.6211436289,12829.9848279199,14529.5750457748,13177.0853350614,13094.1622535449,8123.91929678136
"CH-MF_LF-6",4878.95108569566,8215.52688135984,0,13549.1977983649,2327.63817927512,7007.46575926515,3747.50267756119,4827.92980081217,3644.02192837393,8485.03098042185,13760.2094027636,17936.0837204016,16095.2057671353,13243.0241622884,17013.3935642631,14520.4110415205,12839.4855338014,13518.7343387229,15994.8496240496
"CH-MF_LF-10",9832.3906473814,5744.40976911341,13549.1977983649,0,16049.1163858405,11447.1852583048,10134.8578661631,12363.1848594684,13450.4571342454,8495.35039288084,3808.21996961431,7878.58011915007,4401.37262947059,15862.6655320779,13480.975441964,18587.6153154023,17552.550663738,17147.5408585897,3467.97842034151
"CH-MF_LF-4/5",7157.81816804068,10464.614178479,2327.63817927512,16049.1163858405,0,7913.04787506644,5710.56198692462,5585.57082481139,4094.66371347686,9990.28371135974,15551.0362066014,19453.7070013182,17886.0325709731,13737.7484902422,18045.3757122565,14808.1249206322,13111.908833455,13881.4770771325,17871.3116067347
"CH-MF_LF-1",8739.61027619354,6492.32374557786,7007.46575926515,11447.1852583048,7913.04787506644,0,7186.76637478643,2337.94438668166,3861.89544958358,3320.84848140371,9782.67365717448,12565.266878875,11971.8162528213,6374.15508301637,10146.4653585495,8188.69331727255,6776.48855935196,7113.77432349231,12429.5236928972
"CH-MF_LF-8",1509.34037314315,4827.0472756471,3747.50267756119,10134.8578661631,5710.56198692462,7186.76637478643,0,5688.91703261393,5588.51501473763,7165.68307627451,10897.8780239592,15511.5650702174,12969.2130188244,13601.3787859247,16389.196187084,15411.7869902661,13802.1443200355,14342.4946226011,12565.1988816634
"CH-MF_LF-2",7197.4660820625,6706.68500877662,4827.92980081217,12363.1848594684,5585.57082481139,2337.94438668166,5688.91703261393,0,1606.94768125892,4937.92355804623,11209.8080779881,14365.9178074088,13545.0313253591,8433.62657250028,12466.0923270386,9787.54296924769,8163.91793146913,8741.4114090427,13532.0030671969
"CH-MF_LF-3",7049.96349223288,7791.84824606978,3644.02192837393,13450.4571342454,4094.66371347686,3861.89544958358,5588.51501473763,1606.94768125892,0,6406.49044738734,12676.0406877264,15835.7265842249,15011.2639350974,9665.96103445711,13970.8549547076,10898.2582655144,9210.56830550176,9900.50950938699,14998.2356769353
"IX-MF_LF-1",8403.08008680778,4310.94931532868,8485.03098042185,8495.35039288084,9990.28371135974,3320.84848140371,7165.68307627451,4937.92355804623,6406.49044738734,0,6637.34946971759,9513.49640247419,8826.49206536441,7938.13412826063,9313.88407362457,10453.0717881076,9354.73390351989,9015.82895381509,9288.94487531392
"IX-MF_LF-2",11222.156952625,6305.44381201899,13760.2094027636,3808.21996961431,15551.0362066014,9782.67365717448,10897.8780239592,11209.8080779881,12676.0406877264,6637.34946971759,0,4667.00196789453,2335.71155985362,13368.4096130576,9934.16958450779,16319.2722208748,15424.6785026126,14712.433179006,2652.34113470408
"IX-MF_LF-4",15837.16049155,10919.1308582772,17936.0837204016,7878.58011915007,19453.7070013182,12565.266878875,15511.5650702174,14365.9178074088,15835.7265842249,9513.49640247419,4667.00196789453,0,3523.8783748942,13354.7605883392,8356.98736525918,16810.0900531398,16867.2414660487,15254.7859699632,4624.90735351447
"IX-MF_LF-3",13290.8721422813,8377.35601673332,16095.2057671353,4401.37262947059,17886.0325709731,11971.8162528213,12969.2130188244,13545.0313253591,15011.2639350974,8826.49206536441,2335.71155985362,3523.8783748942,0,15078.9248892512,11168.8969859511,18499.1959795867,17604.6022613245,16892.3569377179,1138.79637211387
"TX-MF_LF-5",15109.9278353733,12023.6211436289,13243.0241622884,15862.6655320779,13737.7484902422,6374.15508301637,13601.3787859247,8433.62657250028,9665.96103445711,7938.13412826063,13368.4096130576,13354.7605883392,15078.9248892512,0,5850.34027909574,3595.35870517218,3715.74384918693,1919.26613419487,15587.8467032657
"TX-MF_LF-6/7",17585.0449206317,12829.9848279199,17013.3935642631,13480.975441964,18045.3757122565,10146.4653585495,16389.196187084,12466.0923270386,13970.8549547076,9313.88407362457,9934.16958450779,8356.98736525918,11168.8969859511,5850.34027909574,0,9549.70499808158,9908.27771423486,8074.8035112552,12085.4404142681
"TX-MF_LF-1",16920.3360397147,14529.5750457748,14520.4110415205,18587.6153154023,14808.1249206322,8188.69331727255,15411.7869902661,9787.54296924769,10898.2582655144,10453.0717881076,16319.2722208748,16810.0900531398,18499.1959795867,3595.35870517218,9549.70499808158,0,1601.0859926625,1283.29818329875,17672.3915061852
"TX-MF_LF-4",15310.6933694841,13177.0853350614,12839.4855338014,17552.550663738,13111.908833455,6776.48855935196,13802.1443200355,8163.91793146913,9210.56830550176,9354.73390351989,15424.6785026126,16867.2414660487,17604.6022613245,3715.74384918693,9908.27771423486,1601.0859926625,0,1637.76839481412,16818.1846632602
"TX-MF_LF-2/3",15851.0436720497,13094.1622535449,13518.7343387229,17147.5408585897,13881.4770771325,7113.77432349231,14342.4946226011,8741.4114090427,9900.50950938699,9015.82895381509,14712.433179006,15254.7859699632,16892.3569377179,1919.26613419487,8074.8035112552,1283.29818329875,1637.76839481412,0,16499.5978467195
"XO-MF_LF-1",12837.2805561377,8123.91929678136,15994.8496240496,3467.97842034151,17871.3116067347,12429.5236928972,12565.1988816634,13532.0030671969,14998.2356769353,9288.94487531392,2652.34113470408,4624.90735351447,1138.79637211387,15587.8467032657,12085.4404142681,17672.3915061852,16818.1846632602,16499.5978467195,0
