"","CH-MF-1","CH-MF-9","CH-MF-11","CH-MF-2","CH-MF-8","CH-MF-15","CH-MF-6/7","CH-MF-3","CH-MF-10","CH-MF-12","CH-MF-13","CH-MF-14","CH-MF-4","CH-MF-5","IX-MF-1","IX-MF-2","IX-MF-3","IX-MF-4","TX-MF-15","TX-MF-14","TX-MF-13","TX-MF-19","TX-MF-18","TX-MF-16/17","XO-MF-1"
"CH-MF-1",0,10700.2835824557,9388.89086718405,962.899460292027,8059.96204791031,14468.1563439448,8544.85905998999,3102.06000201143,9259.6826980974,12571.963569112,15691.5881460234,15222.2111449168,3629.69941140486,4286.97954872302,6363.35281194028,12865.0408573037,15241.2070513225,15048.0113443744,5642.30167256518,10102.9218201809,11092.2510501212,6306.87060070024,4572.93257794078,5525.1090928204,15517.1993421402
"CH-MF-9",10700.2835824557,0,5169.02706281226,10624.784530095,4788.51078612764,9871.78479727147,7072.19327136805,8604.84923731911,1374.50611844803,4537.08234602978,7419.85148010771,9106.66099921,7062.70504318806,6955.22598145958,8140.39174260614,11206.0826668749,15820.0419789727,13274.7978565313,14975.1667964989,15519.441206582,17407.6338389906,16785.5750008403,15175.9323306096,15716.2826331753,12821.2564356619
"CH-MF-11",9388.89086718405,5169.02706281226,0,9885.29722313072,8215.52688135984,5744.40976911341,10464.614178479,6492.32374557786,4827.0472756471,3768.08814326125,6610.56498776851,5971.51928601068,6706.68500877662,7858.13596770068,4153.31932854022,6305.44381201899,10919.1308582772,8377.35601673332,12023.6211436289,10871.1153507328,12757.632103692,14529.5750457748,13177.0853350614,13094.1622535449,8123.91929678136
"CH-MF-2",962.899460292027,10624.784530095,9885.29722313072,0,7180.99442514872,14290.5041344814,7640.42931177881,2957.94011052497,8549.76356482892,12003.6990096469,15175.5548065691,14750.0630469084,2923.31835894406,3438.03560749562,6191.81929781976,12735.4422242755,15417.4075062835,14924.5848199223,6414.3952544837,10712.7373163275,11821.36097134,7138.39040410162,5405.08089392998,6337.38950281987,15347.6403093158
"CH-MF-8",8059.96204791031,4788.51078612764,8215.52688135984,7180.99442514872,0,13549.1977983649,2327.63817927512,7007.46575926515,3747.50267756119,8860.88956737452,11980.8976561296,12908.7662766485,4827.92980081217,3633.81612050931,8339.34713320053,13760.2094027636,17936.0837204016,16095.2057671353,13243.0241622884,15467.4386361129,17093.8066526362,14520.4110415205,12839.4855338014,13518.7343387229,15994.8496240496
"CH-MF-15",14468.1563439448,9871.78479727147,5744.40976911341,14290.5041344814,13549.1977983649,0,16049.1163858405,11447.1852583048,10134.8578661631,5726.45993626003,5876.88924076351,2324.5848016431,12363.1848594684,13516.7448558763,8337.72040609238,3808.21996961431,7878.58011915007,4401.37262947059,15862.6655320779,11610.2392092588,13408.4867402324,18587.6153154023,17552.550663738,17147.5408585897,3467.97842034151
"CH-MF-6/7",8544.85905998999,7072.19327136805,10464.614178479,7640.42931177881,2327.63817927512,16049.1163858405,0,7913.04787506644,5710.56198692462,10816.7651307299,13935.6874668132,14870.0130799078,5585.57082481139,4058.05667234605,9846.02593531711,15551.0362066014,19453.7070013182,17886.0325709731,13737.7484902422,16499.4207841063,18125.7888006296,14808.1249206322,13111.908833455,13881.4770771325,17871.3116067347
"CH-MF-3",3102.06000201143,8604.84923731911,6492.32374557786,2957.94011052497,7007.46575926515,11447.1852583048,7913.04787506644,0,7186.76637478643,9782.09203952833,12857.1674066883,12172.7648627234,2337.94438668166,3911.51468326468,3270.91209705886,9782.67365717448,12565.266878875,11971.8162528213,6374.15508301637,8603.13578509956,10229.5038016229,8188.69331727255,6776.48855935196,7113.77432349231,12429.5236928972
"CH-MF-10",9259.6826980974,1374.50611844803,4827.0472756471,8549.76356482892,3747.50267756119,10134.8578661631,5710.56198692462,7186.76637478643,0,5113.38688981334,8233.6134604453,9353.77911834903,5688.91703261393,5628.65257948318,7008.05308948605,10897.8780239592,15511.5650702174,12969.2130188244,13601.3787859247,14422.1775030534,16316.9901309238,15411.7869902661,13802.1443200355,14342.4946226011,12565.1988816634
"CH-MF-12",12571.963569112,4537.08234602978,3768.08814326125,12003.6990096469,8860.88956737452,5726.45993626003,10816.7651307299,9782.09203952833,5113.38688981334,0,3254.58994981046,4598.83590328107,9420.5549500268,10010.4020257034,7849.64269865529,8046.83741704687,12704.8510465732,9688.78350980941,15562.5058105842,14108.9140535211,15924.4046031998,17995.6886705593,16640.5854690045,16560.7325281257,8939.61878212191
"CH-MF-13",15691.5881460234,7419.85148010771,6610.56498776851,15175.5548065691,11980.8976561296,5876.88924076351,13935.6874668132,12857.1674066883,8233.6134604453,3254.58994981046,0,3202.01534724337,11828.9393715594,12416.2810354742,9906.36155546934,8681.52103494651,13062.6822673869,9586.45822850598,17864.8563323418,15737.1733267847,17542.1677374588,20371.9051856762,19018.4834585267,18936.5555266851,8563.40793286679
"CH-MF-14",15222.2111449168,9106.66099921,5971.51928601068,14750.0630469084,12908.7662766485,2324.5848016431,14870.0130799078,12172.7648627234,9353.77911834903,4598.83590328107,3202.01534724337,0,12437.9163124548,13588.2828381794,9182.0589058257,5750.30623917919,9974.82299616748,6497.41057330495,16930.5334145944,13534.1661700734,15336.915553949,19566.2802662797,18439.2401462808,18126.2058094672,5453.16679784329
"CH-MF-4",3629.69941140486,7062.70504318806,6706.68500877662,2923.31835894406,4827.92980081217,12363.1848594684,5585.57082481139,2337.94438668166,5688.91703261393,9420.5549500268,11828.9393715594,12437.9163124548,0,1661.74602394143,4828.92076704823,11209.8080779881,14365.9178074088,13545.0313253591,8433.62657250028,10920.1373988884,12546.5054154118,9787.54296924769,8163.91793146913,8741.4114090427,13532.0030671969
"CH-MF-5",4286.97954872302,6955.22598145958,7858.13596770068,3438.03560749562,3633.81612050931,13516.7448558763,4058.05667234605,3911.51468326468,5628.65257948318,10010.4020257034,12416.2810354742,13588.2828381794,1661.74602394143,0,6359.81274473138,12738.3657760685,15897.9427842731,15073.5890234394,9684.33218611523,12466.5506909703,14092.9187074936,10901.8855004693,9205.66941329204,9913.23734682299,15060.5607652773
"IX-MF-1",6363.35281194028,8140.39174260614,4153.31932854022,6191.81929781976,8339.34713320053,8337.72040609238,9846.02593531711,3270.91209705886,7008.05308948605,7849.64269865529,9906.36155546934,9182.0589058257,4828.92076704823,6359.81274473138,0,6794.97945650604,9671.12638926264,8984.12205215286,8017.69946654756,7560.21498419232,9483.69800424451,10528.9732855029,9390.33237131277,9092.64996646908,9446.57486210237
"IX-MF-2",12865.0408573037,11206.0826668749,6305.44381201899,12735.4422242755,13760.2094027636,3808.21996961431,15551.0362066014,9782.67365717448,10897.8780239592,8046.83741704687,8681.52103494651,5750.30623917919,11209.8080779881,12738.3657760685,6794.97945650604,0,4667.00196789453,2335.71155985362,13368.4096130576,8148.73192273474,9804.57691089539,16319.2722208748,15424.6785026126,14712.433179006,2652.34113470408
"IX-MF-3",15241.2070513225,15820.0419789727,10919.1308582772,15417.4075062835,17936.0837204016,7878.58011915007,19453.7070013182,12565.266878875,15511.5650702174,12704.8510465732,13062.6822673869,9974.82299616748,14365.9178074088,15897.9427842731,9671.12638926264,4667.00196789453,0,3523.8783748942,13354.7605883392,7319.15886975921,8209.34205856373,16810.0900531398,16867.2414660487,15254.7859699632,4624.90735351447
"IX-MF-4",15048.0113443744,13274.7978565313,8377.35601673332,14924.5848199223,16095.2057671353,4401.37262947059,17886.0325709731,11971.8162528213,12969.2130188244,9688.78350980941,9586.45822850598,6497.41057330495,13545.0313253591,15073.5890234394,8984.12205215286,2335.71155985362,3523.8783748942,0,15078.9248892512,9654.95212768121,11033.9728808572,18499.1959795867,17604.6022613245,16892.3569377179,1138.79637211387
"TX-MF-15",5642.30167256518,14975.1667964989,12023.6211436289,6414.3952544837,13243.0241622884,15862.6655320779,13737.7484902422,6374.15508301637,13601.3787859247,15562.5058105842,17864.8563323418,16930.5334145944,8433.62657250028,9684.33218611523,8017.69946654756,13368.4096130576,13354.7605883392,15078.9248892512,0,6131.92357087077,6069.51744130197,3595.35870517218,3715.74384918693,1919.26613419487,15587.8467032657
"TX-MF-14",10102.9218201809,15519.441206582,10871.1153507328,10712.7373163275,15467.4386361129,11610.2392092588,16499.4207841063,8603.13578509956,14422.1775030534,14108.9140535211,15737.1733267847,13534.1661700734,10920.1373988884,12466.5506909703,7560.21498419232,8148.73192273474,7319.15886975921,9654.95212768121,6131.92357087077,0,2031.71644352078,9548.55704789289,9694.84776312435,8042.0549647787,10190.0606974456
"TX-MF-13",11092.2510501212,17407.6338389906,12757.632103692,11821.36097134,17093.8066526362,13408.4867402324,18125.7888006296,10229.5038016229,16316.9901309238,15924.4046031998,17542.1677374588,15336.915553949,12546.5054154118,14092.9187074936,9483.69800424451,9804.57691089539,8209.34205856373,11033.9728808572,6069.51744130197,2031.71644352078,0,9706.87711352984,10065.3328320662,8231.85862908653,11882.5060466126
"TX-MF-19",6306.87060070024,16785.5750008403,14529.5750457748,7138.39040410162,14520.4110415205,18587.6153154023,14808.1249206322,8188.69331727255,15411.7869902661,17995.6886705593,20371.9051856762,19566.2802662797,9787.54296924769,10901.8855004693,10528.9732855029,16319.2722208748,16810.0900531398,18499.1959795867,3595.35870517218,9548.55704789289,9706.87711352984,0,1601.0859926625,1283.29818329875,17672.3915061852
"TX-MF-18",4572.93257794078,15175.9323306096,13177.0853350614,5405.08089392998,12839.4855338014,17552.550663738,13111.908833455,6776.48855935196,13802.1443200355,16640.5854690045,19018.4834585267,18439.2401462808,8163.91793146913,9205.66941329204,9390.33237131277,15424.6785026126,16867.2414660487,17604.6022613245,3715.74384918693,9694.84776312435,10065.3328320662,1601.0859926625,0,1637.76839481412,16818.1846632602
"TX-MF-16/17",5525.1090928204,15716.2826331753,13094.1622535449,6337.38950281987,13518.7343387229,17147.5408585897,13881.4770771325,7113.77432349231,14342.4946226011,16560.7325281257,18936.5555266851,18126.2058094672,8741.4114090427,9913.23734682299,9092.64996646908,14712.433179006,15254.7859699632,16892.3569377179,1919.26613419487,8042.0549647787,8231.85862908653,1283.29818329875,1637.76839481412,0,16499.5978467195
"XO-MF-1",15517.1993421402,12821.2564356619,8123.91929678136,15347.6403093158,15994.8496240496,3467.97842034151,17871.3116067347,12429.5236928972,12565.1988816634,8939.61878212191,8563.40793286679,5453.16679784329,13532.0030671969,15060.5607652773,9446.57486210237,2652.34113470408,4624.90735351447,1138.79637211387,15587.8467032657,10190.0606974456,11882.5060466126,17672.3915061852,16818.1846632602,16499.5978467195,0
