"","CH-TF_CL-8","CH-TF_CL-5","CH-TF_CL-7","CH-TF_CL-18","CH-TF_CL-17","CH-TF_CL-19","CH-TF_CL-3/4","CH-TF_CL-20","CH-TF_CL-22","CH-TF_CL-21","CH-TF_CL-1","CH-TF_CL-2","CH-TF_CL-6","CH-TF_CL-10/11","CH-TF_CL-12","CH-TF_CL-13","CH-TF_CL-16","CH-TF_CL-14","CH-TF_CL-15","CH-TF_CL-9","IX-TF_CL-3","IX-TF_CL-2","IX-TF_CL-1","TX-TF_CL-2","TX-TF_CL-1"
"CH-TF_CL-8",0,0.888120649710103,1.74441582536544,0.782823372190547,1.36657873862439,2.15890277903875,1.37409417258795,2.26026506610118,3.27091653648556,2.57460604910795,2.8334929500562,2.58428037644586,1.19383867057704,2.42059777087187,1.76036584784643,2.02942878078695,3.24354837801887,2.49060975821124,2.60667955621916,2.21526545865872,6.86087674016341,3.30135809988465,5.50299219274357,4.86763920734525,5.50468729201774
"CH-TF_CL-5",0.888120649710103,0,0.856295175655342,1.67094402190065,1.86377486423863,2.65609890465298,0.485973522877845,3.14838571581128,4.15903718619566,3.46272669881806,1.9453723003461,1.69615972673576,0.305718020866939,3.30871842058197,2.64848649755653,2.91754943049705,3.73712177737559,2.98418315756796,3.10025295557589,2.70883885801544,6.9462508964638,3.2141290835761,5.58836634904396,3.97951855763514,4.61656664230763
"CH-TF_CL-7",1.74441582536544,0.856295175655342,0,1.59123505501714,1.00747968858329,1.79980372899764,0.896472629217725,3.06867674892777,3.48657077233394,3.38301773193454,1.08907712469076,2.10665883307564,0.550577154788403,3.99027798354438,3.50478167321187,3.59910899345946,4.14762088371547,3.39468226390784,3.51075206191577,3.11933796435532,6.08995572080846,2.35783390792076,4.73207117338862,3.1232233819798,3.76027146665229
"CH-TF_CL-18",0.782823372190547,1.67094402190065,1.59123505501714,0,0.583755366433847,1.3760794068482,2.15691754477849,1.47744169391063,2.48809316429501,1.79178267691741,2.68031217970789,3.36710374863641,1.97666204276759,3.20342114306241,2.54318922003697,2.81225215297749,4.02637175020942,3.27343313040179,3.38950292840971,2.99808883084927,6.07805336797287,2.5185347276941,4.72016882055302,4.675135296516,5.31218338118849
"CH-TF_CL-17",1.36657873862439,1.86377486423863,1.00747968858329,0.583755366433847,0,0.792324040414353,1.90395231780101,2.06119706034448,2.47909108375065,2.37553804335125,2.09655681327405,3.11413852165893,1.55805684337169,3.78717650949626,3.12694458647082,3.39600751941134,4.61012711664327,3.85718849683563,3.97325829484356,3.58184419728312,5.66690117414796,1.93477936126026,4.30901662672811,4.09137993008215,4.72842801475464
"CH-TF_CL-19",2.15890277903875,2.65609890465298,1.79980372899764,1.3760794068482,0.792324040414353,0,2.69627635821537,1.77387758714169,1.68676704333629,2.08821857014846,1.56370142896552,2.99170375179183,2.35038088378604,4.57950054991061,3.91926862688517,4.18833155982569,5.40245115705762,4.64951253724999,4.76558233525791,4.37416823769747,4.8745771337336,1.1424553208459,3.51669258631376,3.2990558896678,3.93610397434029
"CH-TF_CL-3/4",1.37409417258795,0.485973522877845,0.896472629217725,2.15691754477849,1.90395231780101,2.69627635821537,0,3.63435923868913,4.38304340155166,3.9487002216959,1.98554975390848,1.21018620385792,0.345895474429322,3.09380535432666,2.6777649459499,2.70263636424174,3.25114825449775,2.49820963469012,2.61427943269804,2.2228653351376,6.98642835002619,3.25430653713849,5.62854380260634,4.01969601119753,4.65674409587002
"CH-TF_CL-20",2.26026506610118,3.14838571581128,3.06867674892777,1.47744169391063,2.06119706034448,1.77387758714169,3.63435923868913,0,1.01065147038438,0.314340983006775,3.33757901610721,4.76558133893351,3.45410373667822,4.68086283697304,4.0206309139476,4.28969384688812,5.50381344412005,4.75087482431242,4.86694462232034,4.4755305247599,4.60061167406223,2.91633290798759,3.24272712664239,5.07293347680949,5.70998156148197
"CH-TF_CL-22",3.27091653648556,4.15903718619566,3.48657077233394,2.48809316429501,2.47909108375065,1.68676704333629,4.38304340155166,1.01065147038438,0,0.696310487377606,3.25046847230181,4.67847079512812,4.03714792712234,5.69151430735742,5.03128238433198,5.30034531727251,6.51446491450443,5.7615262946968,5.87759609270472,5.48618199514428,3.58996020367785,2.29980084669178,2.23207565625801,4.45640141551367,5.09344950018616
"CH-TF_CL-21",2.57460604910795,3.46272669881806,3.38301773193454,1.79178267691741,2.37553804335125,2.08821857014846,3.9487002216959,0.314340983006775,0.696310487377606,0,3.65191999911398,5.07992232194029,3.76844471968499,4.99520381997982,4.33497189695438,4.6040348298949,5.81815442712682,5.06521580731919,5.18128560532712,4.78987150776667,4.28627069105546,2.99611133406938,2.92838614363561,5.15271190289128,5.78975998756377
"CH-TF_CL-1",2.8334929500562,1.9453723003461,1.08907712469076,2.68031217970789,2.09655681327405,1.56370142896552,1.98554975390848,3.33757901610721,3.25046847230181,3.65191999911398,0,1.42800232282631,1.63965427947916,5.07935510823514,4.59385879790263,4.68818611815022,5.23669800840623,4.4837593885986,4.59982918660652,4.20841508904608,5.0008785961177,1.26875678323,3.64299404869786,2.03414625728904,2.67119434196153
"CH-TF_CL-2",2.58428037644586,1.69615972673576,2.10665883307564,3.36710374863641,3.11413852165893,2.99170375179183,1.21018620385792,4.76558133893351,4.67847079512812,5.07992232194029,1.42800232282631,0,1.55608167828724,4.30399155818457,3.88795114980781,3.91282256809966,4.46133445835567,3.70839583854803,3.82446563655596,3.43305153899552,6.42888091894401,2.69675910605631,5.07099637152416,2.84615975505008,3.48320783972257
"CH-TF_CL-6",1.19383867057704,0.305718020866939,0.550577154788403,1.97666204276759,1.55805684337169,2.35038088378604,0.345895474429322,3.45410373667822,4.03714792712234,3.76844471968499,1.63965427947916,1.55608167828724,0,3.43970082875598,2.95420451842347,3.04853183867106,3.59704372892707,2.84410510911944,2.96017490712736,2.56876080956692,6.64053287559686,2.90841106270916,5.28264832817702,3.6738005367682,4.31084862144069
"CH-TF_CL-10/11",2.42059777087187,3.30871842058197,3.99027798354438,3.20342114306241,3.78717650949626,4.57950054991061,3.09380535432666,4.68086283697304,5.69151430735743,4.99520381997982,5.07935510823514,4.30399155818457,3.43970082875598,0,0.660231923025442,0.391168990084919,1.24408730595618,1.0861627703976,1.20223256840552,0.870940019189058,9.28147451103528,5.72195587075652,7.92358996361543,7.11350136552419,7.75054945019668
"CH-TF_CL-12",1.76036584784643,2.64848649755653,3.50478167321187,2.54318922003697,3.12694458647082,3.91926862688517,2.6777649459499,4.0206309139476,5.03128238433198,4.33497189695438,4.59385879790263,3.88795114980781,2.95420451842347,0.660231923025442,0,0.269062932940522,1.48318253017245,0.730243910364814,0.846313708372738,0.454899610812297,8.62124258800984,5.06172394773107,7.26335804058999,6.62800505519167,7.26505313986416
"CH-TF_CL-13",2.02942878078695,2.91754943049705,3.59910899345946,2.81225215297749,3.39600751941134,4.18833155982569,2.70263636424174,4.28969384688813,5.30034531727251,4.6040348298949,4.68818611815022,3.91282256809966,3.04853183867106,0.391168990084919,0.269062932940522,0,1.44793240012031,0.69499378031268,0.811063578320604,0.479771029104139,8.89030552095036,5.3307868806716,7.53242097353051,6.72233237543927,7.35938046011176
"CH-TF_CL-16",3.24354837801887,3.73712177737559,4.14762088371547,4.02637175020942,4.61012711664327,5.40245115705762,3.25114825449775,5.50381344412005,6.51446491450443,5.81815442712683,5.23669800840623,4.46133445835567,3.59704372892707,1.24408730595618,1.48318253017245,1.44793240012031,0,0.752938619807633,0.869008417815557,1.02828291936015,10.1044251181823,6.50545479163624,8.74654057076244,7.27084426569528,7.90789235036777
"CH-TF_CL-14",2.49060975821124,2.98418315756796,3.39468226390784,3.27343313040179,3.85718849683563,4.64951253724999,2.49820963469012,4.75087482431242,5.7615262946968,5.06521580731919,4.4837593885986,3.70839583854803,2.84410510911944,1.0861627703976,0.730243910364814,0.69499378031268,0.752938619807633,0,0.116069798007924,0.275344299552517,9.35148649837465,5.7525161718286,7.99360195095481,6.51790564588764,7.15495373056013
"CH-TF_CL-15",2.60667955621916,3.10025295557589,3.51075206191577,3.38950292840971,3.97325829484356,4.76558233525791,2.61427943269804,4.86694462232034,5.87759609270472,5.18128560532712,4.59982918660652,3.82446563655596,2.96017490712736,1.20223256840552,0.846313708372738,0.811063578320605,0.869008417815557,0.116069798007924,0,0.391414097560441,9.46755629638258,5.86858596983653,8.10967174896273,6.63397544389557,7.27102352856806
"CH-TF_CL-9",2.21526545865872,2.70883885801544,3.11933796435533,2.99808883084927,3.58184419728312,4.37416823769747,2.2228653351376,4.4755305247599,5.48618199514428,4.78987150776668,4.20841508904608,3.43305153899552,2.56876080956692,0.870940019189058,0.454899610812297,0.479771029104139,1.02828291936015,0.275344299552517,0.391414097560441,0,9.07614219882213,5.47717187227609,7.71825765140229,6.24256134633513,6.87960943100762
"IX-TF_CL-3",6.86087674016341,6.9462508964638,6.08995572080846,6.07805336797286,5.66690117414795,4.8745771337336,6.98642835002619,4.60061167406223,3.58996020367785,4.28627069105546,5.0008785961177,6.42888091894401,6.64053287559686,9.28147451103528,8.62124258800984,8.89030552095036,10.1044251181823,9.35148649837465,9.46755629638257,9.07614219882213,0,3.7321218128877,1.35788454741984,5.10202594448276,5.73907402915525
"IX-TF_CL-2",3.30135809988465,3.2141290835761,2.35783390792076,2.5185347276941,1.93477936126026,1.1424553208459,3.25430653713849,2.91633290798759,2.29980084669178,2.99611133406938,1.26875678323,2.69675910605631,2.90841106270916,5.72195587075652,5.06172394773108,5.3307868806716,6.50545479163624,5.7525161718286,5.86858596983653,5.47717187227609,3.7321218128877,0,2.37423726546786,2.15660056882189,2.79364865349438
"IX-TF_CL-1",5.50299219274357,5.58836634904396,4.73207117338862,4.72016882055302,4.30901662672811,3.51669258631376,5.62854380260634,3.24272712664239,2.23207565625801,2.92838614363561,3.64299404869786,5.07099637152416,5.28264832817702,7.92358996361543,7.26335804058999,7.53242097353051,8.74654057076244,7.99360195095481,8.10967174896273,7.71825765140229,1.35788454741984,2.37423726546786,0,3.74414139706292,4.38118948173541
"TX-TF_CL-2",4.86763920734525,3.97951855763514,3.1232233819798,4.675135296516,4.09137993008215,3.2990558896678,4.01969601119753,5.07293347680949,4.45640141551367,5.15271190289128,2.03414625728904,2.84615975505008,3.67380053676821,7.11350136552419,6.62800505519167,6.72233237543927,7.27084426569528,6.51790564588764,6.63397544389557,6.24256134633513,5.10202594448276,2.15660056882189,3.74414139706292,0,0.637048084672489
"TX-TF_CL-1",5.50468729201774,4.61656664230763,3.76027146665229,5.31218338118849,4.72842801475464,3.93610397434029,4.65674409587002,5.70998156148197,5.09344950018616,5.78975998756377,2.67119434196153,3.48320783972257,4.31084862144069,7.75054945019667,7.26505313986416,7.35938046011175,7.90789235036777,7.15495373056013,7.27102352856806,6.87960943100762,5.73907402915525,2.79364865349438,4.38118948173541,0.637048084672489,0
